device id,month,server location,iperf type,duration,iperf run number,successful?
PXBMN,jan,north-central,tcp1d,30,60310,yes
PXBMN,jan,north-central,tcp1d,30,60311,yes
PXBMN,jan,north-central,tcp1c,30,60312,no
PXBMN,jan,north-central,tcp1c,30,60313,yes
PXBMN,jan,north-central,tcp1c,30,60314,yes
PXBMN,jan,north-central,udp,30,60357,no
PXBMN,jan,north-central,udp,30,60358,no
PXBMN,jan,south-central,tcp8,30,60301,yes
PXBMN,jan,south-central,tcp8,30,60302,yes
PXBMN,jan,south-central,tcp1d,30,60303,yes
PXBMN,jan,south-central,tcp1d,30,60304,yes
PXBMN,jan,south-central,tcp1c,30,60305,yes
PXBMN,jan,south-central,tcp1c,30,60307,yes
PXBMN,jan,south-central,udp,30,60355,no
PXBMN,jan,south-central,udp,30,60356,no
PXBMN,jan,west-central,udp,30,60315,no
PXBMN,jan,west-central,udp,30,60316,no
PXBMN,jan,west-central,tcp8,30,60318,yes
PXBMN,jan,west-central,tcp8,30,60320,yes
PXBMN,jan,west-central,tcp1d,30,60321,yes
PXBMN,jan,west-central,tcp1d,30,60323,yes
PXBMN,jan,west-central,tcp1c,30,60324,yes
PXBMN,jan,west-central,tcp1c,30,60326,yes
PXBMN,jan,west,udp,30,60327,no
PXBMN,jan,west,udp,30,60329,no
PXBMN,jan,west,udp,30,60351,no
PXBMN,jan,west,tcp8,30,60330,yes
PXBMN,jan,west,tcp8,30,60331,yes
PXBMN,jan,west,tcp1d,30,60332,yes
PXBMN,jan,west,tcp1d,30,60334,yes
PXBMN,jan,west,tcp1c,30,60335,yes
PXBMN,jan,west,tcp1c,30,60336,yes
PXBMN,jan,west2,tcp8,30,60338,yes
PXBMN,jan,west2,tcp8,30,60339,yes
PXBMN,jan,west2,tcp1d,30,60341,yes
PXBMN,jan,west2,tcp1d,30,60342,yes
PXBMN,jan,west2,tcp1c,30,60343,yes
PXBMN,jan,west2,tcp1c,30,60345,yes
PXBMN,jan,west2,udp,30,60352,no
PXBMN,jan,west2,udp,30,60354,no
PXBMN,jan,west2,tcp1d,30,60361,yes
