time,avg_power,active interface,handover type
439.0,1.21325098,SA 5G,
440.0,1.1944874599999993,SA 5G,
441.0,1.2277351199999997,SA 5G,
442.0,1.2080545909181823,SA 5G,
443.0,1.2032396800000027,SA 5G,
444.0,1.2197736000000017,SA 5G,
445.0,1.1844436799999976,SA 5G,
446.0,1.2393570399999991,SA 5G,
447.0,1.2370414999999995,SA 5G,
448.0,1.1699283399999996,SA 5G,
449.0,1.1644361400000005,SA 5G,
450.0,1.1996747349469947,SA 5G,
451.0,1.2302473399999925,SA 5G,
452.0,1.1957600400000006,SA 5G,
453.0,1.2186655999999998,SA 5G,
454.0,1.2178244400000007,SA 5G,
455.0,1.162360399999997,SA 5G,
456.0,1.2128755800000046,SA 5G,
457.0,1.1866196239247895,SA 5G,
458.0,1.1890596599999999,SA 5G,
459.0,1.197537579999999,SA 5G,
460.0,1.1928526000000028,SA 5G,
461.0,1.2056468000000036,SA 5G,
462.0,1.2651054800000003,SA 5G,
463.0,1.19858706,SA 5G,
464.0,1.2157256000000018,SA 5G,
465.0,1.2191909181836331,SA 5G,
466.0,1.2059866200000002,SA 5G,
467.0,1.2566724999999983,SA 5G,
468.0,1.2100805599999995,SA 5G,
469.0,1.2163768999999955,SA 5G,
470.0,1.1960166599999988,SA 5G,
471.0,1.1704854,SA 5G,
472.0,1.219740048009603,SA 5G,
473.0,1.2760118999999963,SA 5G,
474.0,1.1923810200000022,SA 5G,
475.0,1.1899014999999982,SA 5G,
476.0,1.2572613800000045,SA 5G,
477.0,1.2265458200000048,SA 5G,
478.0,1.1922727600000012,SA 5G,
479.0,1.19673294,SA 5G,
480.0,1.1895801360272076,SA 5G,
481.0,1.1770549199999987,SA 5G,
482.0,1.2643302199999966,SA 5G,
483.0,1.190449419999997,SA 5G,
484.0,1.1672280399999992,SA 5G,
485.0,1.2135505999999978,SA 5G,
486.0,1.1756975600000008,SA 5G,
487.0,1.1789260652130382,SA 5G,
488.0,1.2152818799999956,SA 5G,
489.0,1.2246810599999944,SA 5G,
490.0,1.1650855399999978,SA 5G,
491.0,1.175624979999996,SA 5G,
492.0,1.1834826999999974,SA 5G,
493.0,1.2289189000000018,SA 5G,
494.0,1.3338871199999978,SA 5G,
495.0,1.1756952990598115,SA 5G,
496.0,1.1711769400000018,SA 5G,
497.0,1.232349199999998,SA 5G,
498.0,1.2265519799999973,SA 5G,
499.0,1.1670928800000022,SA 5G,
500.0,1.1785487000000006,SA 5G,
501.0,1.159789000000003,SA 5G,
502.0,1.2626061012202454,SA 5G,
503.0,1.1786342400000003,SA 5G,
504.0,1.152649919999999,SA 5G,
505.0,1.1823643999999978,SA 5G,
506.0,1.2392816799999995,SA 5G,
507.0,1.239398179999996,SA 5G,
508.0,1.1905144199999966,SA 5G,
509.0,1.1889868400000059,SA 5G,
510.0,1.1545963792758525,SA 5G,
511.0,1.1605435000000026,SA 5G,
512.0,1.25400444,SA 5G,
513.0,1.1610784999999972,SA 5G,
514.0,1.1853983799999988,SA 5G,
515.0,1.1708327199999997,SA 5G,
516.0,1.166220119999999,SA 5G,
517.0,1.2061860172034395,SA 5G,
518.0,1.2058636199999997,SA 5G,
519.0,1.166158980000003,SA 5G,
520.0,1.177081599999997,SA 5G,
521.0,1.1677673799999977,SA 5G,
522.0,1.2102934999999997,SA 5G,
523.0,1.1778954400000021,SA 5G,
524.0,1.2250094199999957,SA 5G,
525.0,1.1591050410082013,SA 5G,
526.0,1.1640634800000011,SA 5G,
527.0,1.1902235199999962,SA 5G,
528.0,1.1991823200000022,SA 5G,
529.0,1.1752029799999972,SA 5G,
530.0,1.181754759999996,SA 5G,
531.0,1.1881757000000048,SA 5G,
532.0,1.1615047009401858,SA 5G,
533.0,1.7988841199999985,SA 5G,
534.0,1.204736100000002,SA 5G,
535.0,1.1893108400000034,SA 5G,
536.0,1.1905170599999977,SA 5G,
537.0,1.2186033600000001,SA 5G,
538.0,1.1876573599999993,SA 5G,
539.0,1.1976265199999987,SA 5G,
540.0,1.1802792758551703,SA 5G,
541.0,1.1636751800000034,SA 5G,
542.0,1.1633635800000053,SA 5G,
543.0,1.3391516400000034,SA 5G,
544.0,1.1990957599999945,SA 5G,
545.0,1.2293452199999997,SA 5G,
546.0,1.1805587600000007,SA 5G,
547.0,1.196325165033005,SA 5G,
548.0,1.1775343799999958,SA 5G,
549.0,1.1748129000000034,SA 5G,
550.0,1.1620652400000027,SA 5G,
551.0,1.144745220000003,SA 5G,
552.0,1.1735869599999977,SA 5G,
553.0,1.2014950799999997,SA 5G,
554.0,1.1737106800000023,SA 5G,
555.0,1.2358645129025774,SA 5G,
556.0,1.2068287800000037,SA 5G,
557.0,1.163320480000002,SA 5G,
558.0,1.1737174799999963,SA 5G,
559.0,1.1632862400000044,SA 5G,
560.0,1.2121011400000006,SA 5G,
561.0,1.1471018599999996,SA 5G,
562.0,1.173305421084215,SA 5G,
563.0,1.1717738999999998,SA 5G,
564.0,1.1638081799999986,SA 5G,
565.0,1.1646151000000013,SA 5G,
566.0,1.1915778400000026,SA 5G,
567.0,1.175145180000002,SA 5G,
568.0,1.1676694199999984,SA 5G,
569.0,1.1547849000000023,SA 5G,
570.0,1.1631968793758762,SA 5G,
571.0,1.2003140600000008,SA 5G,
572.0,1.1691225600000053,SA 5G,
573.0,1.2256311000000006,SA 5G,
574.0,1.1624564600000014,SA 5G,
575.0,1.1738872399999984,SA 5G,
576.0,1.2065917000000006,SA 5G,
577.0,1.153296919383874,SA 5G,
578.0,1.3574909999999978,SA 5G,
579.0,1.0421131999999944,SA 5G,
580.0,1.0782924600000006,SA 5G,
581.0,1.5585908599999998,SA 5G,5t5
582.0,1.254481179999998,SA 5G,
583.0,1.1891653799999975,SA 5G,
584.0,1.1827777599999971,SA 5G,
585.0,1.2357500900180007,SA 5G,
586.0,1.1732286799999943,SA 5G,
587.0,1.1915376600000025,SA 5G,
588.0,1.1740990599999968,SA 5G,
589.0,1.1622837799999983,SA 5G,
590.0,1.2508818999999993,SA 5G,
591.0,1.16922592,SA 5G,
592.0,1.1603734146829363,SA 5G,
593.0,1.258060119999999,SA 5G,
594.0,1.2077196999999988,SA 5G,
595.0,1.1888977000000056,SA 5G,
596.0,1.2034708800000051,SA 5G,
597.0,1.1968761000000028,SA 5G,
598.0,1.1797080399999988,SA 5G,
599.0,1.3523873600000027,SA 5G,
600.0,1.3425064212842583,SA 5G,
601.0,1.1738827800000038,SA 5G,
602.0,1.1745177800000026,SA 5G,
603.0,1.1877426600000007,SA 5G,
604.0,1.1986963400000061,SA 5G,
605.0,1.2358064200000018,SA 5G,
