server_location,latency_min,latency_avg,type,iperf_run_number,distance,throughput_rolled3_avg,throughput_avg,throughput_max,throughput_90tile,throughput_95tile,throughput_median
central,24.7,105.14333333333333,tcp1c,64390,234,1359.7846046878371,1409.5317576813295,1624.7188373856843,1613.9203744387612,1617.1372211602493,1556.3844932202705
central,24.7,105.14333333333333,tcp1c,64391,234,626.8187078798678,683.9926322655969,1784.1584986499784,1724.5123083154135,1756.3075050558148,414.1072877418835
central,24.7,105.14333333333333,tcp1c,64392,234,1268.2421983205354,1320.7525603085935,1749.436802544032,1735.2279903456058,1741.193994044977,1497.8383095540264
north-central,19.9,71.53666666666666,tcp1c,64393,352,1712.4616803266276,1769.9400275128057,1956.9434039100738,1941.588173125954,1943.2083496375249,1918.0624244748872
north-central,19.9,71.53666666666666,tcp1c,64397,352,992.8536440135802,1033.462296951371,1403.349192063154,1365.555817975881,1380.7362068518544,1212.7975515649653
north-central,19.9,71.53666666666666,tcp1c,64399,352,1116.3768327615953,1130.594590158342,1963.262991688,1920.870325805948,1945.1617670787587,923.312873339869
north-central,19.9,71.53666666666666,tcp1c,64421,352,1728.2377564060978,1784.280186214335,1950.9724535813473,1937.5790447965257,1943.8016349883533,1905.4988162013135
south-central,93.2,133.82333333333335,tcp1c,64406,1112,932.4396745433279,972.4891330997611,1241.3634290589055,1231.7347034485101,1234.5702063775977,1158.7426214275347
south-central,93.2,133.82333333333335,tcp1c,64407,1112,1166.6914764310568,1186.7406551951876,1233.1231786532423,1224.1152551382345,1226.8245556323568,1211.116214031015
south-central,93.2,133.82333333333335,tcp1c,64408,1112,637.1760124387521,636.8639739311983,953.3345433789665,921.0973298270404,934.8845914591342,500.4502078624884
south-central,93.2,133.82333333333335,tcp1c,64413,1112,1132.520488382256,1168.3576479950166,1266.6075865927505,1259.4360194116628,1263.7897908490459,1251.3548895043261
west-central,85.3,127.40333333333334,tcp1c,64414,903,824.7177105440355,840.4738561855255,1247.004853788112,1230.202910229676,1237.6629726939714,1082.9677861138232
west-central,85.3,127.40333333333334,tcp1c,64417,903,754.2939013476628,786.3838437893671,1031.7679240411674,967.8238974359932,999.0227823476205,921.8275728722032
west-central,85.3,127.40333333333334,tcp1c,64418,903,1099.5487095228832,1117.972875511454,1186.1777159569112,1179.5125956905677,1184.2810901587177,1150.5817148880874
south-central,93.2,133.82333333333335,tcp1c,64419,1112,984.3532032070113,1024.2417890171,1234.570570471571,1227.1334390976701,1229.9133137404556,1192.478653464646
east,87.5,141.90333333333334,tcp1d,64473,871,284.19276980086954,301.6149867814865,542.7633311970782,536.1130538185355,538.4466086542502,345.0545476315507
east,87.5,141.90333333333334,tcp1d,64474,871,475.1032129354266,491.47743738442125,551.6411887813581,545.4569091050577,549.759949988519,533.9655598070608
east2,43.3,124.83548387096774,tcp1d,64476,962,461.0475180318353,468.00584526338946,497.39192565654787,494.5242896056992,496.55021266092604,481.1436840827613
east2,43.3,124.83548387096774,tcp1d,64479,962,459.30277715537267,465.46811623630873,496.0376374648439,490.97825010378136,492.39219273125525,480.5131617844305
west,90.9,132.22000000000003,tcp1d,64480,1583,263.3769197416193,268.4158367046197,299.8147526514702,286.274251758618,287.3379463025551,274.2951287879263
