nr_ssRsrp,hardware_power_full,nrStatus,downlink_Mbps,LTE_RSRP,nr_ssSinr,hardware_power,software_power,Timestamp,uplink_Mbps
-75,5819.5071,CONNECTED,1.1590209999999999,-76,11,3480.5071,5645.401,423.592,80.029899
-70,5857.89656,CONNECTED,0.934999,-75,11,3363.054107,5433.0034,594.888,71.403959
-84,5913.54656,CONNECTED,344.458715,-72,6,3592.54656,5581.108,392.842,0.467304
-76,5819.757479999999,CONNECTED,1.121702,-79,9,3480.7574799999998,5812.3984,460.64099999999996,75.775364
-76,5879.31754,CONNECTED,0.9796799999999999,-77,4,3384.475087,5246.6582,484.751,72.199426
-75,5791.40442,CONNECTED,1.1732559999999999,-90,9,3296.561967,5109.568,567.864,72.01576999999999
-84,5920.83464,CONNECTED,0.674914,-68,0,3581.83464,5574.058000000001,1045.3319999999999,63.272098
-71,5881.5913,CONNECTED,1.015164,-75,10,3386.748847,5245.706999999999,551.846,73.512311
-70,5809.13676,CONNECTED,1.225511,-70,10,3314.294307,5121.2448,619.908,71.970504
-82,5733.870620000001,CONNECTED,275.888023,-70,8,3412.87062,5654.7579,391.842,0.554688
-84,5896.79842,CONNECTED,361.757049,-73,6,3575.79842,5695.0988,397.847,0.502977
-88,5786.13778,CONNECTED,286.14732200000003,-67,1,3447.1377799999996,5633.6436,332.583,0.390816
-80,5759.84286,CONNECTED,1.2198360000000001,-76,2,3420.84286,5666.4498,544.6990000000001,76.56930799999999
-76,5798.93548,CONNECTED,1.0253290000000002,-82,5,3459.9354799999996,5720.4492,515.716,70.330215
-84,5729.41592,CONNECTED,298.075592,-85,11,3390.4159200000004,5759.6848,384.66900000000004,0.52612
-75,5898.11798,CONNECTED,1.171019,-79,8,3559.1179799999995,5518.3152,418.585,78.910314
-88,5786.67972,CONNECTED,295.407266,-85,6,3447.67972,5718.9824,385.66900000000004,0.519904
-76,5689.90372,CONNECTED,192.07241000000002,-84,13,3350.90372,5519.9124,398.755,0.401469
-75,5771.89176,CONNECTED,0.991658,-75,5,3277.049307,5066.2584,553.8480000000001,71.566272
-86,5832.367679999999,CONNECTED,373.903608,-68,6,3493.36768,5661.1938,329.579,0.729267
