enabled_radio_type,carrier,interval,RTT1,RTT2,active_radio_type,KeepOrDrop
4G-LTE,Verizon,1.2,90,90,4,YEP
4G-LTE,Verizon,1.3,290,290,4,YEP
4G-LTE,Verizon,1.4,200,200,4,YEP
4G-LTE,Verizon,1.5,100,99,4,YEP
4G-LTE,Verizon,1.6,320,320,4,YEP
4G-LTE,Verizon,1.7,230,230,4,YEP
4G-LTE,Verizon,1.8,120,119,4,YEP
4G-LTE,Verizon,1.9,340,340,4,YEP
4G-LTE,Verizon,2,240,239,4,YEP
4G-LTE,Verizon,2.1,140,139,4,YEP
4G-LTE,Verizon,2.2,344,343,4,YEP
4G-LTE,Verizon,2.3,266,265,4,YEP
4G-LTE,Verizon,2.4,168,167,4,YEP
4G-LTE,Verizon,2.5,372,372,4,YEP
4G-LTE,Verizon,2.6,280,280,4,YEP
4G-LTE,Verizon,2.7,180,180,4,YEP
4G-LTE,Verizon,2.8,80,80,4,YEP
4G-LTE,Verizon,2.9,309,310,4,YEP
4G-LTE,Verizon,3,200,200,4,YEP
4G-LTE,Verizon,3.1,99,100,4,YEP
4G-LTE,Verizon,3.2,319,320,4,YEP
4G-LTE,Verizon,3.3,209,210,4,YEP
4G-LTE,Verizon,3.4,129,130,4,YEP
4G-LTE,Verizon,3.5,324,324,4,YEP
4G-LTE,Verizon,3.6,246,246,4,YEP
4G-LTE,Verizon,3.7,140,140,4,YEP
4G-LTE,Verizon,3.8,74,74,4,YEP
4G-LTE,Verizon,3.9,76,76,4,YEP
4G-LTE,Verizon,4,320,319,4,YEP
4G-LTE,Verizon,4.1,370,369,4,YEP
4G-LTE,Verizon,4.2,280,279,4,YEP
4G-LTE,Verizon,4.3,188,187,4,YEP
4G-LTE,Verizon,4.4,82,81,4,YEP
4G-LTE,Verizon,4.5,300,300,4,BAD
4G-LTE,Verizon,4.6,190,190,4,YEP
4G-LTE,Verizon,4.7,110,110,4,YEP
4G-LTE,Verizon,4.8,319,320,4,YEP
4G-LTE,Verizon,4.9,219,220,4,YEP
4G-LTE,Verizon,5,119,120,4,YEP
4G-LTE,Verizon,5.1,330,330,4,YEP
4G-LTE,Verizon,5.2,250,250,4,YEP
4G-LTE,Verizon,5.3,124,124,4,YEP
4G-LTE,Verizon,5.4,376,375,4,YEP
4G-LTE,Verizon,5.5,250,250,4,YEP
4G-LTE,Verizon,5.6,170,169,4,YEP
4G-LTE,Verizon,5.7,370,369,4,YEP
