parent_file,exp_label,protocol,length,timestamp,Fixedtimestamp,time,_start,_end,_seconds,bits_per_second,rtt,iperf_type,Throughput,run_number,iperf_did,seq_no
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:43-06:00,23:45:43,92.0,93.0,1.0,70300000.0,-1,parallel-merged,70.3,77,S20UPM,92
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:44-06:00,23:45:44,93.0,94.0,1.0,95400000.0,-1,parallel-merged,95.4,77,S20UPM,93
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:45-06:00,23:45:45,94.0,95.0,1.0,70300000.0,-1,parallel-merged,70.3,77,S20UPM,94
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:46-06:00,23:45:46,95.0,96.0,1.0,80700000.0,-1,parallel-merged,80.7,77,S20UPM,95
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:47-06:00,23:45:47,96.0,97.0,1.0,78600000.0,-1,parallel-merged,78.6,77,S20UPM,96
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:48-06:00,23:45:48,97.0,98.0,1.0,112000000.0,-1,parallel-merged,112.0,77,S20UPM,97
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:49-06:00,23:45:49,98.0,99.0,1.0,91200000.0,-1,parallel-merged,91.2,77,S20UPM,98
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:50-06:00,23:45:50,99.0,100.0,1.0,91200000.0,-1,parallel-merged,91.2,77,S20UPM,99
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:51-06:00,23:45:51,100.0,101.0,1.0,88100000.0,-1,parallel-merged,88.1,77,S20UPM,100
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:52-06:00,23:45:52,101.0,102.0,1.0,89100000.0,-1,parallel-merged,89.1,77,S20UPM,101
S20UPM-run77-iPerf.txt,S20UPM-run77-iPerf,TCP,0,2021-01-13 23:44:10 CST,2021-01-13 23:45:53-06:00,23:45:53,102.0,103.0,1.0,108000000.0,-1,parallel-merged,108.0,77,S20UPM,102
